sig_cd,lat,lon,sido_full,sido_abbr,sig_name,naver_region,sigun,region_formal,region_supply_demand
11110,37.59491732,126.9773213,서울특별시,서울,종로구,서울 종로구,서울특별시,서울특별시 종로구,서울특별시 종로구
11140,37.56014356,126.9959681,서울특별시,서울,중구,서울 중구,서울특별시,서울특별시 중구,서울특별시 중구
11170,37.53138497,126.979907,서울특별시,서울,용산구,서울 용산구,서울특별시,서울특별시 용산구,서울특별시 용산구
11200,37.55102969,127.0410585,서울특별시,서울,성동구,서울 성동구,서울특별시,서울특별시 성동구,서울특별시 성동구
11215,37.54670608,127.0857435,서울특별시,서울,광진구,서울 광진구,서울특별시,서울특별시 광진구,서울특별시 광진구
11230,37.58195655,127.0548481,서울특별시,서울,동대문구,서울 동대문구,서울특별시,서울특별시 동대문구,서울특별시 동대문구
11260,37.59780259,127.0928803,서울특별시,서울,중랑구,서울 중랑구,서울특별시,서울특별시 중랑구,서울특별시 중랑구
11290,37.6057019,127.0175795,서울특별시,서울,성북구,서울 성북구,서울특별시,서울특별시 성북구,서울특별시 성북구
11305,37.64347391,127.011189,서울특별시,서울,강북구,서울 강북구,서울특별시,서울특별시 강북구,서울특별시 강북구
11320,37.66910208,127.0323688,서울특별시,서울,도봉구,서울 도봉구,서울특별시,서울특별시 도봉구,서울특별시 도봉구
11350,37.65251105,127.0750347,서울특별시,서울,노원구,서울 노원구,서울특별시,서울특별시 노원구,서울특별시 노원구
11380,37.61921128,126.9270229,서울특별시,서울,은평구,서울 은평구,서울특별시,서울특별시 은평구,서울특별시 은평구
11410,37.57778531,126.9390631,서울특별시,서울,서대문구,서울 서대문구,서울특별시,서울특별시 서대문구,서울특별시 서대문구
11440,37.55931349,126.90827,서울특별시,서울,마포구,서울 마포구,서울특별시,서울특별시 마포구,서울특별시 마포구
11470,37.52478941,126.8554777,서울특별시,서울,양천구,서울 양천구,서울특별시,서울특별시 양천구,서울특별시 양천구
11500,37.56123543,126.822807,서울특별시,서울,강서구,서울 강서구,서울특별시,서울특별시 강서구,서울특별시 강서구
11530,37.49440543,126.8563006,서울특별시,서울,구로구,서울 구로구,서울특별시,서울특별시 구로구,서울특별시 구로구
11545,37.46056756,126.9008202,서울특별시,서울,금천구,서울 금천구,서울특별시,서울특별시 금천구,서울특별시 금천구
11560,37.52230829,126.9101695,서울특별시,서울,영등포구,서울 영등포구,서울특별시,서울특별시 영등포구,서울특별시 영등포구
11590,37.49887688,126.9516415,서울특별시,서울,동작구,서울 동작구,서울특별시,서울특별시 동작구,서울특별시 동작구
11620,37.46737569,126.9453372,서울특별시,서울,관악구,서울 관악구,서울특별시,서울특별시 관악구,서울특별시 관악구
11650,37.47329547,127.0312203,서울특별시,서울,서초구,서울 서초구,서울특별시,서울특별시 서초구,서울특별시 서초구
11680,37.49664389,127.0629852,서울특별시,서울,강남구,서울 강남구,서울특별시,서울특별시 강남구,서울특별시 강남구
11710,37.50561924,127.115295,서울특별시,서울,송파구,서울 송파구,서울특별시,서울특별시 송파구,서울특별시 송파구
11740,37.55045024,127.1470118,서울특별시,서울,강동구,서울 강동구,서울특별시,서울특별시 강동구,서울특별시 강동구
26110,35.10547776,129.0315402,부산광역시,부산,중구,부산 중구,부산광역시,부산광역시 중구,부산광역시 중구
26140,35.10383663,129.0149537,부산광역시,부산,서구,부산 서구,부산광역시,부산광역시 서구,부산광역시 서구
26170,35.12918632,129.0445856,부산광역시,부산,동구,부산 동구,부산광역시,부산광역시 동구,부산광역시 동구
26200,35.07868795,129.0648096,부산광역시,부산,영도구,부산 영도구,부산광역시,부산광역시 영도구,부산광역시 영도구
26230,35.16524411,129.0430603,부산광역시,부산,부산진구,부산 부산진구,부산광역시,부산광역시 부산진구,부산광역시 부산진구
26260,35.20621244,129.0792201,부산광역시,부산,동래구,부산 동래구,부산광역시,부산광역시 동래구,부산광역시 동래구
26290,35.12613679,129.0940064,부산광역시,부산,남구,부산 남구,부산광역시,부산광역시 남구,부산광역시 남구
26320,35.22922961,129.0234398,부산광역시,부산,북구,부산 북구,부산광역시,부산광역시 북구,부산광역시 북구
26350,35.19385339,129.1535934,부산광역시,부산,해운대구,부산 해운대구,부산광역시,부산광역시 해운대구,부산광역시 해운대구
26380,35.0893484,128.974349,부산광역시,부산,사하구,부산 사하구,부산광역시,부산광역시 사하구,부산광역시 사하구
26410,35.25889074,129.0915307,부산광역시,부산,금정구,부산 금정구,부산광역시,부산광역시 금정구,부산광역시 금정구
26440,35.13834787,128.8924006,부산광역시,부산,강서구,부산 강서구,부산광역시,부산광역시 강서구,부산광역시 강서구
26470,35.18241798,129.0829353,부산광역시,부산,연제구,부산 연제구,부산광역시,부산광역시 연제구,부산광역시 연제구
26500,35.16133146,129.1111627,부산광역시,부산,수영구,부산 수영구,부산광역시,부산광역시 수영구,부산광역시 수영구
26530,35.15803037,128.9865922,부산광역시,부산,사상구,부산 사상구,부산광역시,부산광역시 사상구,부산광역시 사상구
