지역,연령,성별,소비금액합계,결제건수합계,평균결제금액
강원,40,M,1.91682E+12,65861083,29103.99606
경기,40,M,1.97989E+13,880802510,22478.20951
경남,40,M,3.62062E+12,142823264,25350.35033
경북,40,M,2.86642E+12,114194632,25101.15548
광주,40,M,1.73142E+12,65327871,26503.61016
대구,40,M,2.32283E+12,95954008,24207.76064,
대전,40,M,1.86398E+12,79249128,23520.52396,
부산,40,M,3.40083E+12,142475637,23869.53694,
서울,30,M,2.27025E+13,1215204965,18682.07108
세종,40,M,5.17141E+11,23938490,21602.89616
울산,40,M,1.47692E+12,55302656,26706.22084
인천,40,M,4.10063E+12,177080038,23156.91147
전남,30,F,5.45908E+12,41859526,130414.3925
전북,40,M,1.20364E+12,46374079,25954.95022
제주,40,M,1.76655E+12,55821269,31646.48046
충남,40,M,3.0233E+12,118430130,25528.12887
충북,40,M,2.89433E+12,110440349,26207.21044
